Day of Data Escala de Tempo 1 CE Simp 4,Data Escala de Tempo 1 CE Simp 4,Período Exibido CE Simp 4,Subsistema,Selecione Tipo de CE Simp 4
"July 27, 2020",7/27/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,829.462672
"July 28, 2020",7/28/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,864.647708
"July 29, 2020",7/29/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,861.623751
"July 30, 2020",7/30/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,839.416901
"July 31, 2020",7/31/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,829.242112
"August 1, 2020",8/1/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,770.132395
"August 2, 2020",8/2/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,695.19772
"August 3, 2020",8/3/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,808.533236
"August 4, 2020",8/4/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,834.212963
"August 5, 2020",8/5/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,840.584745
"August 6, 2020",8/6/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,843.609708
"August 7, 2020",8/7/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,850.820465
"August 8, 2020",8/8/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,792.075354
"August 9, 2020",8/9/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,710.429955
"August 10, 2020",8/10/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,837.841034
"August 11, 2020",8/11/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,876.11434
"August 12, 2020",8/12/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,888.822596
"August 13, 2020",8/13/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,897.728438
"August 14, 2020",8/14/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,907.480032
"August 15, 2020",8/15/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,840.029077
"August 16, 2020",8/16/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,755.709405
"August 17, 2020",8/17/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,873.85948
"August 18, 2020",8/18/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,908.205942
"August 19, 2020",8/19/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,919.298415
"August 20, 2020",8/20/2020 12:00:00 AM,Dia,Sudeste/Centro-Oeste,899.451171
